date,geography_code,geography_name,ssa_t1_desc,sex,ethnicity_group,notional_nvq_level,e_and_t_aims_enrolments,e_and_t_aims_ach
2021/22,E07000164,Hambleton,Engineering and Manufacturing Technologies,Total,Asian/ Asian British,E,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Female,Not Provided,E,low,low
2021/22,E08000035,Leeds,"Agriculture, Horticulture and Animal Care",Male,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000166,Richmondshire,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E08000032,Bradford,Total,Total,Mixed/ Multiple Ethnic Group,2,270,170
2021/22,E07000169,Selby,"Business, Administration and Law",Male,Other Ethnic Group,Total,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Total,Total,1,low,low
2021/22,E07000163,Craven,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000032,Bradford,Science and Mathematics,Total,Not Provided,3,low,low
2021/22,E08000033,Calderdale,"Arts, Media and Publishing",Total,Asian/ Asian British,1,low,low
2021/22,E07000167,Ryedale,Science and Mathematics,Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Female,Other Ethnic Group,E,low,low
2021/22,E07000167,Ryedale,Education and Training,Male,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000033,Calderdale,Preparation for Life and Work,Male,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000165,Harrogate,Social Sciences,Female,Not Provided,1,low,low
2021/22,E07000164,Hambleton,Preparation for Life and Work,Total,White,Total,350,280
2021/22,E07000169,Selby,Science and Mathematics,Total,White,2,40,30
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Female,Asian/ Asian British,1,10,10
2021/22,E07000165,Harrogate,Preparation for Life and Work,Male,Not Provided,2,low,low
2021/22,E07000163,Craven,Not Applicable/ Not Known,Male,Total,4+,low,low
2021/22,E07000168,Scarborough,"Arts, Media and Publishing",Male,Not Provided,2,low,low
2021/22,E08000033,Calderdale,Total,Female,Asian/ Asian British,3,20,10
2021/22,E07000164,Hambleton,Total,Total,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000164,Hambleton,"History, Philosophy and Theology",Total,Total,Not Assigned,low,low
2021/22,E07000164,Hambleton,Retail and Commercial Enterprise,Male,Asian/ Asian British,3,low,low
2021/22,E08000036,Wakefield,Science and Mathematics,Male,Other Ethnic Group,3,low,low
2021/22,E07000166,Richmondshire,Total,Female,Total,1,80,70
2021/22,E07000163,Craven,"History, Philosophy and Theology",Male,Asian/ Asian British,E,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Female,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,Social Sciences,Total,Other Ethnic Group,1,low,low
2021/22,E07000167,Ryedale,"Arts, Media and Publishing",Male,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E08000036,Wakefield,Engineering and Manufacturing Technologies,Male,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000032,Bradford,Not Applicable/ Not Known,Female,Mixed/ Multiple Ethnic Group,Total,10,low
2021/22,E07000163,Craven,Social Sciences,Female,Asian/ Asian British,E,low,low
2021/22,E08000036,Wakefield,Total,Total,Other Ethnic Group,2,50,40
2021/22,E08000036,Wakefield,Not Applicable/ Not Known,Total,Other Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Female,Not Provided,E,low,low
2021/22,E07000167,Ryedale,Preparation for Life and Work,Total,Other Ethnic Group,Total,10,low
2021/22,E08000032,Bradford,"Construction, Planning and the Built Environment",Female,Not Provided,3,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Female,Not Provided,Not Assigned,low,low
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000165,Harrogate,"Leisure, Travel and Tourism",Female,Total,E,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Female,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000035,Leeds,"Construction, Planning and the Built Environment",Male,White,3,120,50
2021/22,E08000036,Wakefield,"Agriculture, Horticulture and Animal Care",Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Male,Other Ethnic Group,3,low,low
2021/22,E07000169,Selby,Information and Communication Technology,Male,White,Not Assigned,low,low
2021/22,E07000168,Scarborough,"Health, Public Services and Care",Total,White,E,low,low
2021/22,E07000163,Craven,"Business, Administration and Law",Female,Total,Total,40,30
2021/22,E08000034,Kirklees,Total,Female,Total,3,610,380
2021/22,E07000168,Scarborough,Retail and Commercial Enterprise,Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000036,Wakefield,Not Applicable/ Not Known,Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000166,Richmondshire,Total,Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000168,Scarborough,"Health, Public Services and Care",Male,Total,3,20,10
2021/22,E07000168,Scarborough,"Business, Administration and Law",Total,Not Provided,E,low,low
2021/22,E07000169,Selby,Not Applicable/ Not Known,Female,Not Provided,Total,low,low
2021/22,E07000169,Selby,Total,Male,White,3,50,30
2021/22,E07000168,Scarborough,"History, Philosophy and Theology",Total,Asian/ Asian British,3,low,low
2021/22,E07000164,Hambleton,"History, Philosophy and Theology",Male,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000034,Kirklees,"Languages, Literature and Culture",Male,Not Provided,E,low,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Male,Asian/ Asian British,1,low,low
2021/22,E07000165,Harrogate,Information and Communication Technology,Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Female,Asian/ Asian British,Total,10,10
2021/22,E08000034,Kirklees,Total,Male,White,E,450,360
2021/22,E08000033,Calderdale,"Construction, Planning and the Built Environment",Male,Total,2,40,30
2021/22,E08000033,Calderdale,Preparation for Life and Work,Female,Asian/ Asian British,E,190,170
2021/22,E08000036,Wakefield,"Health, Public Services and Care",Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E08000033,Calderdale,Retail and Commercial Enterprise,Female,Total,3,80,60
2021/22,E08000034,Kirklees,Education and Training,Male,Other Ethnic Group,Total,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Male,Asian/ Asian British,2,low,low
2021/22,E08000034,Kirklees,"History, Philosophy and Theology",Female,Total,2,low,low
2021/22,E08000035,Leeds,Retail and Commercial Enterprise,Female,White,3,120,70
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000032,Bradford,Science and Mathematics,Female,Not Provided,3,low,low
2021/22,E07000168,Scarborough,Retail and Commercial Enterprise,Male,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000034,Kirklees,"History, Philosophy and Theology",Male,Not Provided,3,low,low
2021/22,E07000165,Harrogate,Science and Mathematics,Female,Total,2,40,30
2021/22,E08000033,Calderdale,Engineering and Manufacturing Technologies,Female,Not Provided,2,low,low
2021/22,E07000164,Hambleton,Education and Training,Total,Total,1,low,low
2021/22,E08000035,Leeds,"Arts, Media and Publishing",Total,Mixed/ Multiple Ethnic Group,3,20,10
2021/22,E08000033,Calderdale,Social Sciences,Total,Total,E,low,low
2021/22,E08000032,Bradford,Information and Communication Technology,Total,Total,3,70,40
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Male,Asian/ Asian British,1,low,low
2021/22,E08000032,Bradford,"Construction, Planning and the Built Environment",Male,Total,2,120,70
2021/22,E07000167,Ryedale,"History, Philosophy and Theology",Male,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E08000034,Kirklees,"Arts, Media and Publishing",Total,White,Not Assigned,low,low
2021/22,E07000165,Harrogate,Preparation for Life and Work,Male,White,Total,110,80
2021/22,E08000034,Kirklees,Total,Male,Total,3,270,140
2021/22,E08000035,Leeds,Not Applicable/ Not Known,Female,White,1,low,low
2021/22,E07000168,Scarborough,"Agriculture, Horticulture and Animal Care",Male,Other Ethnic Group,4+,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Total,White,Not Assigned,10,10
2021/22,E07000163,Craven,Total,Female,Total,Not Assigned,low,low
2021/22,E08000035,Leeds,Information and Communication Technology,Male,Not Provided,3,low,low
2021/22,E07000168,Scarborough,"Agriculture, Horticulture and Animal Care",Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000033,Calderdale,Information and Communication Technology,Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Total,Asian/ Asian British,3,low,low
2021/22,E07000167,Ryedale,"Agriculture, Horticulture and Animal Care",Male,White,2,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Male,Black/African/Caribbean/Black British,1,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Male,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000035,Leeds,Retail and Commercial Enterprise,Total,White,Not Assigned,low,low
2021/22,E07000163,Craven,"Leisure, Travel and Tourism",Total,Asian/ Asian British,Total,low,low
2021/22,E07000168,Scarborough,Engineering and Manufacturing Technologies,Total,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000163,Craven,"History, Philosophy and Theology",Female,Other Ethnic Group,1,low,low
2021/22,E07000168,Scarborough,"Construction, Planning and the Built Environment",Male,Not Provided,Not Assigned,low,low
2021/22,E08000034,Kirklees,"Health, Public Services and Care",Female,Other Ethnic Group,E,low,low
2021/22,E07000165,Harrogate,Engineering and Manufacturing Technologies,Male,Asian/ Asian British,3,low,low
2021/22,E07000166,Richmondshire,"History, Philosophy and Theology",Total,Total,4+,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Female,Other Ethnic Group,E,low,low
2021/22,E07000163,Craven,"History, Philosophy and Theology",Total,Asian/ Asian British,Total,low,low
2021/22,E08000035,Leeds,"Agriculture, Horticulture and Animal Care",Male,Not Provided,E,low,low
2021/22,E08000032,Bradford,Preparation for Life and Work,Male,Black/African/Caribbean/Black British,2,10,10
2021/22,E08000032,Bradford,"Arts, Media and Publishing",Female,Asian/ Asian British,2,low,low
2021/22,E07000169,Selby,Science and Mathematics,Total,Asian/ Asian British,2,low,low
2021/22,E08000035,Leeds,"Health, Public Services and Care",Female,White,2,1830,1370
2021/22,E08000033,Calderdale,"Agriculture, Horticulture and Animal Care",Total,Not Provided,1,low,low
2021/22,E08000033,Calderdale,"Construction, Planning and the Built Environment",Male,Not Provided,Not Assigned,low,low
2021/22,E07000164,Hambleton,Not Applicable/ Not Known,Male,White,Not Assigned,10,low
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Total,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E08000034,Kirklees,Preparation for Life and Work,Male,Other Ethnic Group,2,10,10
2021/22,E07000164,Hambleton,Education and Training,Total,Asian/ Asian British,4+,low,low
2021/22,E07000169,Selby,Social Sciences,Female,Other Ethnic Group,E,low,low
2021/22,E07000164,Hambleton,"History, Philosophy and Theology",Male,Asian/ Asian British,2,low,low
2021/22,E08000035,Leeds,Preparation for Life and Work,Total,Not Provided,Total,480,420
2021/22,E08000034,Kirklees,"Leisure, Travel and Tourism",Female,White,1,low,low
2021/22,E07000163,Craven,Education and Training,Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000033,Calderdale,"Construction, Planning and the Built Environment",Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Male,White,3,50,50
2021/22,E08000034,Kirklees,"Arts, Media and Publishing",Female,Other Ethnic Group,E,low,low
2021/22,E07000166,Richmondshire,Total,Female,Total,4+,10,low
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Female,Asian/ Asian British,3,low,low
2021/22,E07000163,Craven,"Arts, Media and Publishing",Male,Asian/ Asian British,Total,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Male,Total,3,low,low
2021/22,E07000168,Scarborough,"Construction, Planning and the Built Environment",Male,Total,2,20,10
2021/22,E07000167,Ryedale,Preparation for Life and Work,Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E08000033,Calderdale,Science and Mathematics,Female,Asian/ Asian British,3,low,low
2021/22,E08000033,Calderdale,Engineering and Manufacturing Technologies,Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000165,Harrogate,"History, Philosophy and Theology",Total,Asian/ Asian British,3,low,low
2021/22,E07000168,Scarborough,"Languages, Literature and Culture",Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000164,Hambleton,"Business, Administration and Law",Male,Total,4+,low,low
2021/22,E07000166,Richmondshire,Retail and Commercial Enterprise,Female,Other Ethnic Group,1,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Male,White,1,40,30
2021/22,E08000033,Calderdale,"Arts, Media and Publishing",Male,Other Ethnic Group,3,low,low
2021/22,E07000167,Ryedale,"Languages, Literature and Culture",Male,Not Provided,Total,low,low
2021/22,E07000166,Richmondshire,"Health, Public Services and Care",Female,Not Provided,3,low,low
2021/22,E08000033,Calderdale,"Leisure, Travel and Tourism",Female,Total,1,low,low
2021/22,E07000169,Selby,"Languages, Literature and Culture",Male,White,E,low,low
2021/22,E07000165,Harrogate,"Leisure, Travel and Tourism",Male,Total,2,10,10
2021/22,E07000168,Scarborough,Engineering and Manufacturing Technologies,Total,White,E,low,low
2021/22,E07000166,Richmondshire,"Construction, Planning and the Built Environment",Male,White,3,low,low
2021/22,E08000034,Kirklees,Total,Female,Not Provided,Not Assigned,low,low
2021/22,E08000035,Leeds,"Leisure, Travel and Tourism",Total,Asian/ Asian British,1,low,low
2021/22,E07000165,Harrogate,"Languages, Literature and Culture",Female,Not Provided,E,low,low
2021/22,E08000035,Leeds,Total,Male,Asian/ Asian British,3,90,50
2021/22,E07000169,Selby,"Business, Administration and Law",Male,Total,4+,low,low
2021/22,E07000166,Richmondshire,"Business, Administration and Law",Male,Total,2,10,low
2021/22,E08000036,Wakefield,"Languages, Literature and Culture",Total,White,Not Assigned,low,low
2021/22,E07000167,Ryedale,"Languages, Literature and Culture",Total,Total,Not Assigned,low,low
2021/22,E08000033,Calderdale,Education and Training,Total,Other Ethnic Group,3,low,low
2021/22,E07000169,Selby,Preparation for Life and Work,Female,Not Provided,E,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Male,Asian/ Asian British,Total,20,10
2021/22,E07000166,Richmondshire,Total,Male,White,3,20,20
2021/22,E08000032,Bradford,Preparation for Life and Work,Total,Total,E,5760,4840
2021/22,E08000032,Bradford,Science and Mathematics,Female,Black/African/Caribbean/Black British,Total,30,20
2021/22,E07000165,Harrogate,"Leisure, Travel and Tourism",Total,Total,1,low,low
2021/22,E07000165,Harrogate,"Agriculture, Horticulture and Animal Care",Total,Asian/ Asian British,1,low,low
2021/22,E08000032,Bradford,Not Applicable/ Not Known,Male,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000168,Scarborough,"Business, Administration and Law",Female,Not Provided,1,low,low
2021/22,E08000033,Calderdale,Engineering and Manufacturing Technologies,Female,Other Ethnic Group,Total,low,low
2021/22,E07000168,Scarborough,"Arts, Media and Publishing",Female,Other Ethnic Group,3,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Male,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Female,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000163,Craven,"Leisure, Travel and Tourism",Female,Not Provided,1,low,low
2021/22,E08000035,Leeds,"Business, Administration and Law",Total,Black/African/Caribbean/Black British,3,50,30
2021/22,E07000165,Harrogate,Science and Mathematics,Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Female,Not Provided,Total,low,low
2021/22,E08000032,Bradford,Engineering and Manufacturing Technologies,Female,White,2,30,30
2021/22,E07000166,Richmondshire,"Health, Public Services and Care",Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000035,Leeds,"Leisure, Travel and Tourism",Male,Black/African/Caribbean/Black British,Total,40,40
2021/22,E07000168,Scarborough,Science and Mathematics,Total,Mixed/ Multiple Ethnic Group,Total,low,low
2021/22,E07000164,Hambleton,Preparation for Life and Work,Male,Other Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000032,Bradford,Education and Training,Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000164,Hambleton,"Agriculture, Horticulture and Animal Care",Total,Not Provided,1,low,low
2021/22,E07000168,Scarborough,Education and Training,Total,Other Ethnic Group,3,low,low
2021/22,E08000033,Calderdale,"Languages, Literature and Culture",Female,Asian/ Asian British,Total,10,10
2021/22,E08000032,Bradford,Retail and Commercial Enterprise,Total,Other Ethnic Group,Total,40,40
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Total,Total,4+,low,low
2021/22,E07000167,Ryedale,"History, Philosophy and Theology",Female,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000164,Hambleton,"History, Philosophy and Theology",Female,Total,1,low,low
2021/22,E07000166,Richmondshire,"History, Philosophy and Theology",Male,Asian/ Asian British,Total,low,low
2021/22,E07000166,Richmondshire,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,Total,low,low
2021/22,E08000034,Kirklees,Retail and Commercial Enterprise,Total,Total,Total,810,660
2021/22,E08000035,Leeds,Total,Female,Not Provided,3,40,20
2021/22,E08000036,Wakefield,Education and Training,Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000167,Ryedale,Not Applicable/ Not Known,Male,White,E,low,low
2021/22,E07000165,Harrogate,Education and Training,Female,Other Ethnic Group,Total,low,low
2021/22,E08000036,Wakefield,"Agriculture, Horticulture and Animal Care",Male,Not Provided,Total,low,low
2021/22,E08000036,Wakefield,Information and Communication Technology,Female,White,3,low,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Total,Total,2,40,30
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Female,Total,E,20,20
2021/22,E07000169,Selby,"Leisure, Travel and Tourism",Male,Not Provided,3,low,low
2021/22,E07000164,Hambleton,"Arts, Media and Publishing",Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000167,Ryedale,"History, Philosophy and Theology",Male,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Female,Asian/ Asian British,4+,low,low
2021/22,E08000033,Calderdale,Total,Male,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000035,Leeds,"History, Philosophy and Theology",Female,Asian/ Asian British,1,low,low
2021/22,E07000168,Scarborough,Information and Communication Technology,Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000168,Scarborough,Social Sciences,Male,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000033,Calderdale,Science and Mathematics,Male,Not Provided,Not Assigned,low,low
2021/22,E07000169,Selby,Retail and Commercial Enterprise,Female,Asian/ Asian British,4+,low,low
2021/22,E07000164,Hambleton,Engineering and Manufacturing Technologies,Male,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000036,Wakefield,"Languages, Literature and Culture",Total,Other Ethnic Group,Not Assigned,low,low
2021/22,E07000166,Richmondshire,"Health, Public Services and Care",Male,Asian/ Asian British,3,low,low
2021/22,E08000034,Kirklees,Science and Mathematics,Total,Black/African/Caribbean/Black British,4+,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Female,Not Provided,Not Assigned,low,low
2021/22,E08000035,Leeds,"Business, Administration and Law",Total,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000036,Wakefield,Total,Total,Not Provided,3,20,10
2021/22,E07000169,Selby,Information and Communication Technology,Male,Asian/ Asian British,4+,low,low
2021/22,E07000163,Craven,"Health, Public Services and Care",Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000034,Kirklees,Education and Training,Male,Other Ethnic Group,2,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Male,Not Provided,E,low,low
2021/22,E07000168,Scarborough,Education and Training,Total,White,3,20,10
2021/22,E08000036,Wakefield,"Leisure, Travel and Tourism",Total,Other Ethnic Group,4+,low,low
2021/22,E07000169,Selby,Science and Mathematics,Total,Total,4+,low,low
2021/22,E08000035,Leeds,Social Sciences,Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E08000034,Kirklees,Education and Training,Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000169,Selby,"Business, Administration and Law",Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000167,Ryedale,"Leisure, Travel and Tourism",Total,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000032,Bradford,Education and Training,Total,Asian/ Asian British,E,low,low
2021/22,E07000165,Harrogate,"Business, Administration and Law",Female,White,E,low,low
2021/22,E07000163,Craven,Science and Mathematics,Female,Other Ethnic Group,4+,low,low
2021/22,E07000164,Hambleton,"Leisure, Travel and Tourism",Female,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000034,Kirklees,"Languages, Literature and Culture",Female,Mixed/ Multiple Ethnic Group,2,10,10
2021/22,E07000164,Hambleton,"Agriculture, Horticulture and Animal Care",Total,Asian/ Asian British,3,low,low
2021/22,E08000034,Kirklees,Preparation for Life and Work,Male,Total,1,590,460
2021/22,E07000169,Selby,Not Applicable/ Not Known,Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000169,Selby,"Business, Administration and Law",Total,Total,E,low,low
2021/22,E08000032,Bradford,Engineering and Manufacturing Technologies,Total,Asian/ Asian British,4+,low,low
2021/22,E07000164,Hambleton,"Agriculture, Horticulture and Animal Care",Female,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000168,Scarborough,Engineering and Manufacturing Technologies,Female,White,Total,10,low
2021/22,E08000034,Kirklees,Engineering and Manufacturing Technologies,Female,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000167,Ryedale,Preparation for Life and Work,Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E08000035,Leeds,Engineering and Manufacturing Technologies,Female,White,4+,low,low
2021/22,E07000166,Richmondshire,Engineering and Manufacturing Technologies,Male,White,2,10,10
2021/22,E07000164,Hambleton,Information and Communication Technology,Male,Asian/ Asian British,2,low,low
2021/22,E08000033,Calderdale,"Agriculture, Horticulture and Animal Care",Female,Other Ethnic Group,E,low,low
2021/22,E07000169,Selby,"Health, Public Services and Care",Total,Other Ethnic Group,3,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Female,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Total,Asian/ Asian British,Total,low,low
2021/22,E08000036,Wakefield,"Agriculture, Horticulture and Animal Care",Female,Other Ethnic Group,3,low,low
2021/22,E07000164,Hambleton,"Agriculture, Horticulture and Animal Care",Total,Not Provided,4+,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Total,White,4+,low,low
2021/22,E07000166,Richmondshire,Not Applicable/ Not Known,Total,Not Provided,4+,low,low
2021/22,E07000169,Selby,Education and Training,Male,Other Ethnic Group,1,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Male,Other Ethnic Group,1,low,low
2021/22,E08000035,Leeds,"History, Philosophy and Theology",Total,White,Not Assigned,low,low
2021/22,E08000032,Bradford,Engineering and Manufacturing Technologies,Total,Asian/ Asian British,3,20,20
2021/22,E07000167,Ryedale,Information and Communication Technology,Female,White,Total,20,20
2021/22,E07000167,Ryedale,Education and Training,Male,Asian/ Asian British,Total,low,low
2021/22,E07000164,Hambleton,Preparation for Life and Work,Male,Other Ethnic Group,4+,low,low
2021/22,E08000035,Leeds,"History, Philosophy and Theology",Female,Asian/ Asian British,4+,low,low
2021/22,E07000166,Richmondshire,Retail and Commercial Enterprise,Male,Asian/ Asian British,2,low,low
2021/22,E08000034,Kirklees,Total,Female,Asian/ Asian British,1,820,530
2021/22,E07000167,Ryedale,"Languages, Literature and Culture",Female,Not Provided,Total,low,low
2021/22,E07000164,Hambleton,Preparation for Life and Work,Female,Other Ethnic Group,3,low,low
2021/22,E07000165,Harrogate,"Business, Administration and Law",Male,Other Ethnic Group,4+,low,low
2021/22,E07000163,Craven,"Business, Administration and Law",Female,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000163,Craven,"Construction, Planning and the Built Environment",Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Male,Total,3,low,low
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Male,Total,E,low,low
2021/22,E08000036,Wakefield,Education and Training,Total,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000036,Wakefield,"Arts, Media and Publishing",Male,Other Ethnic Group,E,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Total,Total,E,low,low
2021/22,E07000167,Ryedale,Not Applicable/ Not Known,Male,Total,Total,low,low
2021/22,E07000169,Selby,Science and Mathematics,Female,White,Not Assigned,low,low
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Total,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000033,Calderdale,Science and Mathematics,Female,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,"Health, Public Services and Care",Total,Total,1,10,10
2021/22,E07000166,Richmondshire,Social Sciences,Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Male,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000164,Hambleton,Science and Mathematics,Total,Other Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000165,Harrogate,Information and Communication Technology,Male,Not Provided,Total,low,low
2021/22,E08000033,Calderdale,Total,Male,Other Ethnic Group,3,low,low
2021/22,E07000169,Selby,Education and Training,Male,Asian/ Asian British,E,low,low
2021/22,E07000167,Ryedale,"Languages, Literature and Culture",Total,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000164,Hambleton,Social Sciences,Female,White,3,low,low
2021/22,E08000033,Calderdale,"Construction, Planning and the Built Environment",Male,Asian/ Asian British,1,10,10
2021/22,E08000035,Leeds,"Health, Public Services and Care",Total,Not Provided,E,low,low
2021/22,E08000032,Bradford,"Arts, Media and Publishing",Male,White,E,10,10
2021/22,E08000033,Calderdale,Science and Mathematics,Female,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Female,Not Provided,E,low,low
2021/22,E08000035,Leeds,Science and Mathematics,Male,Other Ethnic Group,Total,30,20
2021/22,E08000036,Wakefield,Total,Female,Other Ethnic Group,E,80,60
2021/22,E07000167,Ryedale,Not Applicable/ Not Known,Female,Not Provided,E,low,low
