Local Area,JobFunction Growth Rank,JobFunction Name,Job Growth Rank,Job Name,Skill Rank,Top 10 List of Skills Needed for the Job,Top 10 List of Skills Added by Members in Chamber Region occupied with the Job,"<--This job list contains ALL jobs that have been growing in demand from 2017 to 2021, categorized into Job Functions for readability"
West Yorkshire,3,Finance,14,Treasurer,8,Teamwork,Time Management,NA
West Yorkshire,3,Finance,14,Treasurer,9,MATLAB,Presentation Skills,NA
West Yorkshire,3,Finance,14,Treasurer,10,Python (Programming Language),Microsoft Word,NA
West Yorkshire,3,Finance,15,Finance Officer,1,Account Reconciliation,Finance,NA
West Yorkshire,3,Finance,15,Finance Officer,2,Finance,Local Government,NA
West Yorkshire,3,Finance,15,Finance Officer,3,Accounting,Management Accounting,NA
West Yorkshire,3,Finance,15,Finance Officer,4,Bank Reconciliation,Accounting,NA
West Yorkshire,3,Finance,15,Finance Officer,5,Financial Reporting,Financial Reporting,NA
West Yorkshire,3,Finance,15,Finance Officer,6,Financial Accounting,Public Sector,NA
West Yorkshire,3,Finance,15,Finance Officer,7,Accounts Payable,Microsoft Excel,NA
West Yorkshire,3,Finance,15,Finance Officer,8,Financial Analysis,Financial Analysis,NA
West Yorkshire,3,Finance,15,Finance Officer,9,Management Accounting,Account Reconciliation,NA
West Yorkshire,3,Finance,15,Finance Officer,10,Accounts Receivable (AR),Public Policy,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,1,Mortgage Lending,Mortgage Lending,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,2,Residential Mortgages,Residential Mortgages,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,3,Financial Services,CeMap Qualified,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,4,CeMap Qualified,Financial Services,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,5,Income Protection,Banking,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,6,Buy to Let,Mortgage Industry,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,7,Loans,Retail Banking,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,8,Retail Banking,Loans,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,9,Life Insurance,CeMAP,NA
West Yorkshire,3,Finance,16,Mortgage Advisor,10,Banking,Buy to Let,NA
West Yorkshire,3,Finance,17,Risk Manager,1,Risk Management,Risk Management,NA
West Yorkshire,3,Finance,17,Risk Manager,2,Operational Risk Management,Banking,NA
West Yorkshire,3,Finance,17,Risk Manager,3,Enterprise Risk Management,Financial Services,NA
West Yorkshire,3,Finance,17,Risk Manager,4,Banking,Operational Risk Management,NA
West Yorkshire,3,Finance,17,Risk Manager,5,Financial Services,Stakeholder Management,NA
West Yorkshire,3,Finance,17,Risk Manager,6,Credit Risk Management,Regulatory Compliance,NA
West Yorkshire,3,Finance,17,Risk Manager,7,Risk Assessment,Change Management,NA
West Yorkshire,3,Finance,17,Risk Manager,8,Risk Analysis,Enterprise Risk Management,NA
West Yorkshire,3,Finance,17,Risk Manager,9,Internal Controls,Risk Analysis,NA
West Yorkshire,3,Finance,17,Risk Manager,10,Stakeholder Management,Financial Risk Management,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,1,Mergers & Acquisitions (M&A),Financial Analysis,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,2,Financial Analysis,Finance,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,3,Financial Reporting,Accounting,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,4,Corporate Finance,Business Strategy,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,5,Finance,Budgeting,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,6,Managerial Finance,Management,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,7,Financial Modeling,Leadership,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,8,Accounting,NA,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,9,Financial Accounting,NA,NA
West Yorkshire,3,Finance,18,Chief Financial Officer,10,Due Diligence,NA,NA
West Yorkshire,3,Finance,19,Finance Manager,1,Management Accounting,Finance,NA
West Yorkshire,3,Finance,19,Finance Manager,2,Financial Reporting,Management Accounting,NA
West Yorkshire,3,Finance,19,Finance Manager,3,Managerial Finance,Financial Reporting,NA
West Yorkshire,3,Finance,19,Finance Manager,4,Accounting,Accounting,NA
West Yorkshire,3,Finance,19,Finance Manager,5,Financial Accounting,Financial Analysis,NA
West Yorkshire,3,Finance,19,Finance Manager,6,Financial Analysis,Managerial Finance,NA
West Yorkshire,3,Finance,19,Finance Manager,7,Finance,Forecasting,NA
West Yorkshire,3,Finance,19,Finance Manager,8,Forecasting,Financial Accounting,NA
West Yorkshire,3,Finance,19,Finance Manager,9,Cash Flow,Budgeting,NA
West Yorkshire,3,Finance,19,Finance Manager,10,Account Reconciliation,Account Reconciliation,NA
West Yorkshire,3,Finance,20,Investment Manager,1,Investment Management,Investments,NA
West Yorkshire,3,Finance,20,Investment Manager,2,Investments,Investment Management,NA
West Yorkshire,3,Finance,20,Investment Manager,3,Investment Strategies,Asset Management,NA
West Yorkshire,3,Finance,20,Investment Manager,4,Portfolio Management,Investment Strategies,NA
West Yorkshire,3,Finance,20,Investment Manager,5,Asset Management,Portfolio Management,NA
West Yorkshire,3,Finance,20,Investment Manager,6,Working with Investors,Equities,NA
West Yorkshire,3,Finance,20,Investment Manager,7,Equities,Finance,NA
West Yorkshire,3,Finance,20,Investment Manager,8,Finance,Financial Services,NA
West Yorkshire,3,Finance,20,Investment Manager,9,Valuation,Business Strategy,NA
West Yorkshire,3,Finance,20,Investment Manager,10,Alternative Investments,Microsoft Excel,NA
West Yorkshire,3,Finance,21,Actuary,1,Actuarial Science,Actuarial Science,NA
West Yorkshire,3,Finance,21,Actuary,2,Actuarial Consulting,Defined Benefit,NA
West Yorkshire,3,Finance,21,Actuary,3,Solvency II,Pension Funds,NA
West Yorkshire,3,Finance,21,Actuary,4,Prophet,Pension Schemes,NA
West Yorkshire,3,Finance,21,Actuary,5,Defined Benefit,Risk Management,NA
West Yorkshire,3,Finance,21,Actuary,6,Insurance,Data Analysis,NA
West Yorkshire,3,Finance,21,Actuary,7,Pension Funds,Financial Services,NA
West Yorkshire,3,Finance,21,Actuary,8,Life Insurance,Analytical Skills,NA
West Yorkshire,3,Finance,21,Actuary,9,Actuaries,Microsoft Excel,NA
West Yorkshire,3,Finance,21,Actuary,10,Financial Modeling,Teamwork,NA
West Yorkshire,4,Marketing,1,Brand Associate,1,Retail Sales,Retail,NA
West Yorkshire,4,Marketing,1,Brand Associate,2,Retail,Retail Sales,NA
West Yorkshire,4,Marketing,1,Brand Associate,3,Shop Floor,Teamwork,NA
West Yorkshire,4,Marketing,1,Brand Associate,4,Teamwork,Communication,NA
West Yorkshire,4,Marketing,1,Brand Associate,5,Communication,Problem Solving,NA
West Yorkshire,4,Marketing,1,Brand Associate,6,Time Management,Time Management,NA
West Yorkshire,4,Marketing,1,Brand Associate,7,Customer Service,Customer Service,NA
West Yorkshire,4,Marketing,1,Brand Associate,8,Cash Handling,Organization Skills,NA
West Yorkshire,4,Marketing,1,Brand Associate,9,Organization Skills,Shop Floor,NA
West Yorkshire,4,Marketing,1,Brand Associate,10,Volunteering,Sales,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,1,Social Media Marketing,Social Media,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,2,Social Media,Social Media Marketing,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,3,Instagram,Instagram,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,4,Digital Marketing,Social Media Communications,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,5,Facebook,Facebook,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,6,Copywriting,Adobe Photoshop,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,7,Blogging,Journalism,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,8,Twitter,Marketing,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,9,Social Media Communications,Digital Marketing,NA
West Yorkshire,4,Marketing,2,Social Media Coordinator,10,Adobe Photoshop,Adobe InDesign,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,1,Search Engine Optimization (SEO),Search Engine Optimization (SEO),NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,2,Keyword Research,Search Engine Marketing (SEM),NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,3,Google Analytics,Google Analytics,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,4,SEO Audits,SEO Audits,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,5,Search Engine Marketing (SEM),Keyword Research,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,6,Link Building,Web Analytics,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,7,SEO Copywriting,Digital Marketing,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,8,Pay Per Click (PPC),Online Marketing,NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,9,E-commerce SEO,Pay Per Click (PPC),NA
West Yorkshire,4,Marketing,3,Search Engine Optimization Executive,10,Google Webmaster Tools,Online Advertising,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,1,Digital Marketing,Marketing Strategy,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,2,Marketing Strategy,Digital Marketing,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,3,Social Media Marketing,Email Marketing,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,4,Online Marketing,Strategy,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,5,Email Marketing,Direct Marketing,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,6,Integrated Marketing,Brand Management,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,7,Brand Management,B2B Marketing,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,8,B2B Marketing,Marketing,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,9,Digital Strategy,Social Media Marketing,NA
West Yorkshire,4,Marketing,4,Head Of Marketing,10,Advertising,Online Marketing,NA
West Yorkshire,4,Marketing,5,Digital Manager,1,Digital Strategy,Digital Marketing,NA
West Yorkshire,4,Marketing,5,Digital Manager,2,Digital Marketing,User Experience (UX),NA
West Yorkshire,4,Marketing,5,Digital Manager,3,Google Analytics,Graphic Design,NA
West Yorkshire,4,Marketing,5,Digital Manager,4,Search Engine Optimization (SEO),Agile Methodologies,NA
West Yorkshire,4,Marketing,5,Digital Manager,5,Digital Transformation,Search Engine Optimization (SEO),NA
West Yorkshire,4,Marketing,5,Digital Manager,6,Digital Media,Google Analytics,NA
West Yorkshire,4,Marketing,5,Digital Manager,7,User Experience (UX),Digital Strategy,NA
West Yorkshire,4,Marketing,5,Digital Manager,8,Social Media Marketing,Adobe Premiere Pro,NA
West Yorkshire,4,Marketing,5,Digital Manager,9,Email Marketing,Adobe Photoshop,NA
West Yorkshire,4,Marketing,5,Digital Manager,10,Agile Methodologies,Web Design,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,1,Digital Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,2,Social Media Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,3,Google Analytics,Facebook,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,4,Media Planning,Google Analytics,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,5,Digital Media,Digital Media,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,6,Facebook,Online Advertising,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,7,Pay Per Click (PPC),Advertising,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,8,Advertising,Marketing,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,9,Online Advertising,Copywriting,NA
West Yorkshire,4,Marketing,6,Advertising Sales Director,10,Social Media Advertising,Social Media,NA
West Yorkshire,4,Marketing,7,Social Media Manager,1,Social Media Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,7,Social Media Manager,2,Instagram,Social Media,NA
West Yorkshire,4,Marketing,7,Social Media Manager,3,Digital Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,7,Social Media Manager,4,Social Media,Social Media Advertising,NA
West Yorkshire,4,Marketing,7,Social Media Manager,5,Facebook,Instagram,NA
West Yorkshire,4,Marketing,7,Social Media Manager,6,Twitter,Facebook,NA
West Yorkshire,4,Marketing,7,Social Media Manager,7,Copywriting,Marketing,NA
West Yorkshire,4,Marketing,7,Social Media Manager,8,Social Media Advertising,Social Media Optimization (SMO),NA
West Yorkshire,4,Marketing,7,Social Media Manager,9,Social Media Communications,Twitter,NA
West Yorkshire,4,Marketing,7,Social Media Manager,10,Content Strategy,Copywriting,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,1,Digital Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,2,Search Engine Optimization (SEO),Search Engine Optimization (SEO),NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,3,Google Analytics,Social Media Marketing,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,4,Social Media Marketing,Google Analytics,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,5,Email Marketing,Email Marketing,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,6,Pay Per Click (PPC),Marketing,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,7,Google Ads,Social Media,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,8,Online Marketing,Google Ads,NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,9,Content Marketing,Pay Per Click (PPC),NA
West Yorkshire,4,Marketing,8,Digital Marketing Specialist,10,Search Engine Marketing (SEM),Graphic Design,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,1,Digital Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,2,Google Analytics,Search Engine Optimization (SEO),NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,3,Search Engine Optimization (SEO),Google Analytics,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,4,Pay Per Click (PPC),Pay Per Click (PPC),NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,5,Email Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,6,Social Media Marketing,Email Marketing,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,7,Google Ads,Google Ads,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,8,Online Marketing,Online Marketing,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,9,Content Marketing,Marketing Strategy,NA
West Yorkshire,4,Marketing,9,Digital Marketing Consultant,10,Search Engine Marketing (SEM),Online Advertising,NA
West Yorkshire,4,Marketing,10,Category Manager,1,Category Management,Category Management,NA
West Yorkshire,4,Marketing,10,Category Manager,2,Strategic Sourcing,Fast-Moving Consumer Goods (FMCG),NA
West Yorkshire,4,Marketing,10,Category Manager,3,Procurement,Procurement,NA
West Yorkshire,4,Marketing,10,Category Manager,4,E-procurement,Negotiation,NA
West Yorkshire,4,Marketing,10,Category Manager,5,Supply Chain Management,Forecasting,NA
West Yorkshire,4,Marketing,10,Category Manager,6,Contract Negotiation,Supply Chain Management,NA
West Yorkshire,4,Marketing,10,Category Manager,7,Purchasing,Retail,NA
West Yorkshire,4,Marketing,10,Category Manager,8,Supplier Relationship Management,Sourcing,NA
West Yorkshire,4,Marketing,10,Category Manager,9,Supplier Negotiation,Strategy,NA
West Yorkshire,4,Marketing,10,Category Manager,10,Spend Analysis,Contract Management,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,1,Pricing Analysis,Pricing Analysis,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,2,Emblem,Emblem,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,3,Pricing Strategy,SAS (Software),NA
West Yorkshire,4,Marketing,11,Pricing Analyst,4,SAS (Software),Pricing Strategy,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,5,Radar,Insurance,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,6,SAS (Programming Language),SQL,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,7,SQL,Data Analysis,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,8,Visual Basic for Applications (VBA),Analytical Skills,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,9,Insurance,Microsoft Excel,NA
West Yorkshire,4,Marketing,11,Pricing Analyst,10,Pricing Optimization,Microsoft Office,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,1,Social Media Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,2,Digital Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,3,Marketing,Marketing,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,4,Email Marketing,Social Media,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,5,Social Media,Email Marketing,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,6,Google Analytics,Adobe Photoshop,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,7,Copywriting,Search Engine Optimization (SEO),NA
West Yorkshire,4,Marketing,12,Marketing Assistant,8,Search Engine Optimization (SEO),Copywriting,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,9,Adobe Photoshop,Google Analytics,NA
West Yorkshire,4,Marketing,12,Marketing Assistant,10,Marketing Strategy,Marketing Strategy,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,1,Digital Marketing,Internal Communications,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,2,Marketing Strategy,B2B Marketing,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,3,Social Media Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,4,Email Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,5,Copywriting,Email Marketing,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,6,Public Relations,Marketing Strategy,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,7,Strategic Communications,Online Marketing,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,8,Internal Communications,Marketing,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,9,Online Marketing,Copywriting,NA
West Yorkshire,4,Marketing,13,Marketing Communications Manager,10,B2B Marketing,Customer Relationship Management (CRM),NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,1,Pay Per Click (PPC),Digital Marketing,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,2,Digital Marketing,Google Analytics,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,3,Search Engine Optimization (SEO),Pay Per Click (PPC),NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,4,Google Analytics,Search Engine Optimization (SEO),NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,5,Email Marketing,Email Marketing,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,6,Search Engine Marketing (SEM),Social Media Marketing,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,7,Online Marketing,Marketing Strategy,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,8,Social Media Marketing,Online Marketing,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,9,Google Ads,Online Advertising,NA
West Yorkshire,4,Marketing,14,Digital Marketing Manager,10,Digital Strategy,Digital Strategy,NA
West Yorkshire,4,Marketing,15,Marketing Officer,1,Digital Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,15,Marketing Officer,2,Social Media Marketing,Copywriting,NA
West Yorkshire,4,Marketing,15,Marketing Officer,3,Email Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,15,Marketing Officer,4,Copywriting,Marketing,NA
West Yorkshire,4,Marketing,15,Marketing Officer,5,Marketing,Social Media,NA
West Yorkshire,4,Marketing,15,Marketing Officer,6,Marketing Strategy,Event Management,NA
West Yorkshire,4,Marketing,15,Marketing Officer,7,Google Analytics,Email Marketing,NA
West Yorkshire,4,Marketing,15,Marketing Officer,8,Social Media,Marketing Strategy,NA
West Yorkshire,4,Marketing,15,Marketing Officer,9,Online Marketing,Google Analytics,NA
West Yorkshire,4,Marketing,15,Marketing Officer,10,Event Management,Public Relations,NA
West Yorkshire,4,Marketing,16,Marketing Director,1,Marketing Strategy,Marketing Strategy,NA
West Yorkshire,4,Marketing,16,Marketing Director,2,Digital Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,16,Marketing Director,3,Social Media Marketing,Business Strategy,NA
West Yorkshire,4,Marketing,16,Marketing Director,4,Online Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,16,Marketing Director,5,Integrated Marketing,Integrated Marketing,NA
West Yorkshire,4,Marketing,16,Marketing Director,6,Marketing Management,Marketing,NA
West Yorkshire,4,Marketing,16,Marketing Director,7,Marketing,Advertising,NA
West Yorkshire,4,Marketing,16,Marketing Director,8,Brand Management,Online Marketing,NA
West Yorkshire,4,Marketing,16,Marketing Director,9,Brand Development,B2B Marketing,NA
West Yorkshire,4,Marketing,16,Marketing Director,10,Email Marketing,Direct Marketing,NA
West Yorkshire,4,Marketing,17,Marketing Executive,1,Email Marketing,Digital Marketing,NA
West Yorkshire,4,Marketing,17,Marketing Executive,2,Digital Marketing,Social Media Marketing,NA
West Yorkshire,4,Marketing,17,Marketing Executive,3,Social Media Marketing,Email Marketing,NA
West Yorkshire,4,Marketing,17,Marketing Executive,4,Marketing Strategy,Marketing,NA
West Yorkshire,4,Marketing,17,Marketing Executive,5,Marketing,Marketing Strategy,NA
West Yorkshire,4,Marketing,17,Marketing Executive,6,Google Analytics,Copywriting,NA
West Yorkshire,4,Marketing,17,Marketing Executive,7,Copywriting,Google Analytics,NA
West Yorkshire,4,Marketing,17,Marketing Executive,8,Search Engine Optimization (SEO),B2B Marketing,NA
West Yorkshire,4,Marketing,17,Marketing Executive,9,Online Marketing,Social Media,NA
West Yorkshire,4,Marketing,17,Marketing Executive,10,Content Marketing,Online Marketing,NA
West Yorkshire,5,Legal,1,Compliance Manager,1,Regulatory Compliance,Regulatory Compliance,NA
West Yorkshire,5,Legal,1,Compliance Manager,2,Compliance Management,Compliance Management,NA
West Yorkshire,5,Legal,1,Compliance Manager,3,Compliance Monitoring,Risk Management,NA
West Yorkshire,5,Legal,1,Compliance Manager,4,Anti-Money Laundering,Compliance Monitoring,NA
West Yorkshire,5,Legal,1,Compliance Manager,5,Risk Management,Auditing,NA
West Yorkshire,5,Legal,1,Compliance Manager,6,KYC Verification,Compliance Regulations,NA
West Yorkshire,5,Legal,1,Compliance Manager,7,Financial Services,Financial Services,NA
West Yorkshire,5,Legal,1,Compliance Manager,8,Compliance Regulations,Stakeholder Management,NA
West Yorkshire,5,Legal,1,Compliance Manager,9,Legal Compliance,Anti-Money Laundering,NA
West Yorkshire,5,Legal,1,Compliance Manager,10,Banking,Change Management,NA
West Yorkshire,5,Legal,2,Legal Specialist,1,Legal Research,Legal Assistance,NA
West Yorkshire,5,Legal,2,Legal Specialist,2,Legal Advice,Conveyancing,NA
West Yorkshire,5,Legal,2,Legal Specialist,3,Legal Writing,Legal Research,NA
West Yorkshire,5,Legal,2,Legal Specialist,4,Conveyancing,Legal Advice,NA
West Yorkshire,5,Legal,2,Legal Specialist,5,Property Law,Property Law,NA
West Yorkshire,5,Legal,2,Legal Specialist,6,Document Drafting,Legal Writing,NA
West Yorkshire,5,Legal,2,Legal Specialist,7,Litigation,Law,NA
West Yorkshire,5,Legal,2,Legal Specialist,8,Corporate Law,Document Drafting,NA
West Yorkshire,5,Legal,2,Legal Specialist,9,Law,Litigation,NA
West Yorkshire,5,Legal,2,Legal Specialist,10,Legal Document Preparation,Time Management,NA
West Yorkshire,5,Legal,3,Legal Assistant,1,Legal Advice,Legal Research,NA
West Yorkshire,5,Legal,3,Legal Assistant,2,Legal Research,Legal Assistance,NA
West Yorkshire,5,Legal,3,Legal Assistant,3,Legal Writing,Legal Writing,NA
West Yorkshire,5,Legal,3,Legal Assistant,4,Litigation,Litigation,NA
West Yorkshire,5,Legal,3,Legal Assistant,5,Legal Document Preparation,Legal Advice,NA
West Yorkshire,5,Legal,3,Legal Assistant,6,Civil Litigation,Civil Litigation,NA
West Yorkshire,5,Legal,3,Legal Assistant,7,Document Drafting,Document Drafting,NA
West Yorkshire,5,Legal,3,Legal Assistant,8,Conveyancing,Legal Document Preparation,NA
West Yorkshire,5,Legal,3,Legal Assistant,9,Paralegal Studies,Personal Injury Law,NA
West Yorkshire,5,Legal,3,Legal Assistant,10,Commercial Litigation,Law,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,1,Global Talent Acquisition,Sourcing,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,2,Talent Management,Talent Management,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,3,Executive Search,Recruiting,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,4,Recruiting,Recruitment Advertising,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,5,Sourcing,Hiring,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,6,Technical Recruiting,Interviewing,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,7,Interviewing,Coaching,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,8,Employer Branding,Team Management,NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,9,Recruitment Advertising,Human Resources (HR),NA
West Yorkshire,6,Human Resources,1,Talent Acquisition Manager,10,Applicant Tracking Systems,Strategy,NA
West Yorkshire,6,Human Resources,2,Recruiter,1,Recruiting,Recruiting,NA
West Yorkshire,6,Human Resources,2,Recruiter,2,Technical Recruiting,Sourcing,NA
West Yorkshire,6,Human Resources,2,Recruiter,3,Sourcing,Executive Search,NA
West Yorkshire,6,Human Resources,2,Recruiter,4,Executive Search,Technical Recruiting,NA
West Yorkshire,6,Human Resources,2,Recruiter,5,Human Resources (HR),Contract Recruitment,NA
West Yorkshire,6,Human Resources,2,Recruiter,6,Contract Recruitment,Recruitment Advertising,NA
West Yorkshire,6,Human Resources,2,Recruiter,7,Recruitment Advertising,Interviewing,NA
West Yorkshire,6,Human Resources,2,Recruiter,8,Interviewing,Human Resources (HR),NA
West Yorkshire,6,Human Resources,2,Recruiter,9,Talent Management,Talent Management,NA
West Yorkshire,6,Human Resources,2,Recruiter,10,Screening Resumes,IT Recruitment,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,1,Recruiting,Recruitment Advertising,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,2,Talent Management,Interviewing,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,3,Recruitment Advertising,Recruiting,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,4,Sourcing,Sourcing,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,5,Interviewing,Contract Recruitment,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,6,Human Resources (HR),Executive Search,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,7,Applicant Tracking Systems,Technical Recruiting,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,8,Global Talent Acquisition,Talent Management,NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,9,Executive Search,Human Resources (HR),NA
West Yorkshire,6,Human Resources,3,Recruitment Advisor,10,Technical Recruiting,Performance Management,NA
West Yorkshire,6,Human Resources,4,Human Resources Coordinator,1,Human Resources (HR),Human Resources (HR),NA
West Yorkshire,6,Human Resources,4,Human Resources Coordinator,2,Employee Relations,Recruiting,NA
